AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;04;1727;1623;7;0,1;0,4;209;0
1990;04;23318;24114;33;15,2;30,6;460;0
1990;04;1108;1065;0;0;0;174;0
1990;04;2973;2949;1536;0;0;214;0
1990;04;1530;1516;176;0;0,6;54;5
1990;04;30491;32918;387;79,8;351;702;99
1990;04;7739;9366;0;1,1;6,5;244;0
1990;04;4507;4453;1;0;0,1;234;0
1990;04;26296;28145;130;72,6;339,6;627;136
1990;04;3812;3529;3;4,4;0,1;230;1
1990;04;12285;11794;219;188,3;183,8;681;228
1990;04;183728;169257;10360;1246,3;1180,9;5121;630
1990;04;1562;1713;0;2,6;0;123;0
1990;04;18525;16922;10;5,2;5,9;489;0
1990;04;1141;1220;0;0,1;0,1;76;3
1990;04;464;536;20;0;0;86;0
1990;04;1316;1279;47;204,6;18,3;49;31
1990;04;3458;3527;0;0,4;2,6;208;0
1990;04;203973;202894;24478;1550,6;2378,8;4638;496
1990;04;255887;264552;10788;1130,2;1334,9;10101;213
1990;04;22023;23170;79;14,5;51,9;344;0
1990;04;46692;47392;234;255,2;292;973;98
1990;04;2094;2190;0;1,5;0;137;0
1990;04;7099;7144;1;131;150,1;439;96
1990;04;6846;7097;10;1,3;0,4;123;0
1990;04;1787;1461;1045;0,1;0,5;462;0
1990;04;1498;1431;0;0;0;374;0
1990;04;1421;1132;279;0;0;148;0
1990;04;947273;930159;17581;27031,5;27450,7;18695;841
1990;04;1061510;1016898;5557;11791,2;12416,7;15821;689
1990;04;38380;34891;1251;181,5;216;1270;209
1990;04;22991;23084;220;163,5;139,3;906;42
1990;04;1439;1389;0;3,1;0,3;348;0
1990;04;2379;2375;1;2,8;0,8;284;0
1990;04;791;607;0;0;0;99;0
1990;04;10184;10477;0;1,7;18,4;189;0
1990;04;1368;1365;488;0,1;0,2;309;1
1990;04;7728;7745;97;37;58,4;696;38
1990;04;1450;1520;0;2,9;0;106;0
1990;04;5591;5352;0;1,9;6,1;164;2
1990;04;53987;52331;3917;111,4;141,1;1781;186
1990;04;658;605;1029;0;0;129;2
1990;04;79866;74118;693;599,4;653,2;3562;415
1990;04;1644;1573;4;0;0,4;558;1
